match_id,event_id,event_name,division,round,match_number,scheduled,field,alliance_color,alliance_score,team_id,team_name,result
122920998,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,77,2025-11-28T15:22:30-05:00,College Ciencia Field,blue,71,53020,UTCJ1,win
122920998,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,77,2025-11-28T15:22:30-05:00,College Ciencia Field,red,50,55726,TCMG1,loss
122921005,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,84,2025-11-28T15:45:00-05:00,Cancha VU Math,blue,43,151616,TECMI3,win
122921005,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,84,2025-11-28T15:45:00-05:00,Cancha VU Math,red,23,55726,TCMG1,loss
122921025,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,104,2025-11-28T17:15:00-05:00,Cancha VU Math,blue,95,86615,IEST1,win
122921025,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,104,2025-11-28T17:15:00-05:00,Cancha VU Math,red,34,55726,TCMG1,loss
122921035,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,114,2025-11-29T08:00:00-05:00,Cancha VU Math,blue,20,55726,TCMG1,loss
122921035,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,114,2025-11-29T08:00:00-05:00,Cancha VU Math,red,92,35194,VCAT,win
122921050,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,129,2025-11-29T09:07:30-05:00,College Ciencia Field,blue,65,55726,TCMG1,win
122921050,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,129,2025-11-29T09:07:30-05:00,College Ciencia Field,red,52,64093,UPQR1,loss
121817611,63447,Torneo final de Liga estatal de Chihuahua,Default Division,3,1,,,blue,52,55726,TCMG1,loss
121817611,63447,Torneo final de Liga estatal de Chihuahua,Default Division,3,1,,,red,62,178729,UTBAB2,win
122921066,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,blue,35,55726,TCMG1,loss
122921066,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,red,84,27472,TMAT1,win
121817557,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,2,2025-11-19T11:34:30-05:00,Field 1,blue,34,72552,UACH1,loss
121817557,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,2,2025-11-19T11:34:30-05:00,Field 1,red,38,187086,UTCHS1,win
121817563,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,8,2025-11-19T12:01:30-05:00,Field 1,blue,14,150424,UTPRR1,loss
121817563,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,8,2025-11-19T12:01:30-05:00,Field 1,red,49,72552,UACH1,win
122920934,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,13,2025-11-28T09:45:00-05:00,College Ciencia Field,blue,71,72552,UACH1,win
122920934,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,13,2025-11-28T09:45:00-05:00,College Ciencia Field,red,37,90205,ITESM1,loss
121817573,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,18,2025-11-19T12:52:30-05:00,Field 1,blue,23,72552,UACH1,loss
121817573,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,18,2025-11-19T12:52:30-05:00,Field 1,red,40,150422,UPCH1,win
122920950,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,29,2025-11-28T11:00:00-05:00,College Ciencia Field,blue,41,64093,UPQR1,loss
122920950,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,29,2025-11-28T11:00:00-05:00,College Ciencia Field,red,79,72552,UACH1,win
121817585,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,30,2025-11-19T13:50:00-05:00,Field 1,blue,48,178728,UTBAB1,win
121817585,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,30,2025-11-19T13:50:00-05:00,Field 1,red,31,72552,UACH1,loss
122920958,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,37,2025-11-28T11:30:00-05:00,College Ciencia Field,blue,53,150432,UTCJ2,loss
